,States
0,Arizona
1,Georgia
2,Idaho
3,Indiana
4,Iowa
5,Kansas
6,Louisiana
7,Maine
8,Maryland
9,Massachusetts
10,Minnesota
11,Nevada
12,New Hampshire
13,New Jersey
14,New Mexico
15,North Carolina
16,Oregon
17,Rhode Island
18,South Carolina
19,Tennessee
20,Vermont
21,West Virginia
22,Wisconsin
23,Wyoming
